count,sim_take_rate,mlb_take_rate,diff_take_rate,sim_ball_rate,mlb_ball_rate,diff_ball_rate,sim_swing_rate,mlb_swing_rate,diff_swing_rate,sim_called_strike_rate,mlb_called_strike_rate,diff_called_strike_rate,sim_in_play_rate,mlb_in_play_rate,diff_in_play_rate,sim_foul_rate,mlb_foul_rate,diff_foul_rate
0-0,0.6371387373832361,0.6894538914323087,-0.05231515404907261,0.3504482477587612,0.38136036625245257,-0.030912118493691354,0.3628612626167638,0.31039350337911487,0.05246775923764896,0.28669048962447496,0.3054719860475256,-0.01878149642305066,0.19089712243746473,0.10884565075212557,0.08205147168533916,0.020124130148580027,0.12347939829954219,-0.10335526815096216
0-1,0.565380147153737,0.5117008366178729,0.053679310535864055,0.3570414353943462,0.39995489351648,-0.04291345812213382,0.4346198528462631,0.48812732915919366,-0.05350747631293057,0.20833871175939073,0.108738844200058,0.09959986755933273,0.2069188072802375,0.17167312834942489,0.035245678930812624,0.01781334710210404,0.18964054428490115,-0.1718271971827971
0-2,0.3464566929133858,0.48619418271200326,-0.13973748979861744,0.19600674915635546,0.44612863580499795,-0.2501218866486425,0.6535433070866141,0.513600983203605,0.1399423238830091,0.15044994375703036,0.03562064727570668,0.11482929648132367,0.23875140607424072,0.17589102826710365,0.06286037780713707,0.0,0.20280622695616551,-0.20280622695616551
1-0,0.528921124206709,0.573285311619167,-0.044364187412457956,0.257479601087942,0.3388520342795319,-0.08137243319158993,0.47107887579329105,0.42668621700879766,0.04439265878449339,0.271441523118767,0.23235486718104945,0.03908665593771757,0.22792384406165003,0.15573840503373856,0.07218543902791147,0.023934723481414323,0.1680238020670216,-0.1440890785856073
1-1,0.5294729542302358,0.4574724684024093,0.07200048582782648,0.32264216366158116,0.34563698261960224,-0.02299481895802108,0.47052704576976423,0.5424861825148513,-0.07195913674508703,0.20683079056865464,0.10925805962537731,0.09757273094327733,0.22052704576976423,0.19625652970931595,0.024270516060448277,0.0239251040221914,0.2121897095916089,-0.18826460556941751
1-2,0.44168096054888506,0.42475919785251853,0.016921762696366527,0.30303030303030304,0.3819244075047012,-0.07889410447439815,0.5583190394511149,0.5751977376799736,-0.01687869822885868,0.13865065751858205,0.0385139887745288,0.10013666874405325,0.22298456260720412,0.20619267042763018,0.016791892179573942,0.0,0.22677748589638688,-0.22677748589638688
2-0,0.5411007862759114,0.573177916175728,-0.03207712989981659,0.24731951393852752,0.3096700892105706,-0.062350575272043074,0.45889921372408865,0.426822083824272,0.03207712989981665,0.2937812723373838,0.26157212590472984,0.03220914643265399,0.23731236597569694,0.16684901531728666,0.07046335065841028,0.023588277340957826,0.17156202659484934,-0.1479737492538915
2-1,0.5350269438029254,0.4241671341935829,0.1108598096093425,0.2729022324865281,0.2945686730250327,-0.021666440538504583,0.4649730561970747,0.5758328658064171,-0.11085980960934244,0.26212471131639725,0.1272474686756966,0.13487724264070064,0.23787528868360278,0.2184552910689001,0.019419997614702672,0.022324865280985373,0.23093158077529322,-0.20860671549430784
2-2,0.46998908694070574,0.3596995361968139,0.11028955074389185,0.2728264823572208,0.3083619009208846,-0.03553541856366382,0.5300109130592943,0.6403004638031862,-0.1102895507438919,0.1971626045834849,0.04755663104120454,0.14960597354228033,0.252091669698072,0.2382032667876588,0.013888402910413211,0.0,0.2632923304429656,-0.2632923304429656
3-0,0.7113702623906706,0.9030054644808743,-0.19163520209020368,0.60932944606414,0.33989071038251367,0.2694387356816263,0.2886297376093295,0.09699453551912568,0.1916352020902038,0.10204081632653061,0.5627049180327869,-0.46066410170625627,0.2478134110787172,0.03961748633879782,0.20819592473991938,0.014577259475218658,0.04330601092896175,-0.02872875145374309
3-1,0.4011090573012939,0.46392547381946675,-0.06281641651817282,0.2365988909426987,0.2836492129778349,-0.047050322035136205,0.5988909426987061,0.5360745261805332,0.06281641651817294,0.1645101663585952,0.17841310632830068,-0.013902939969705486,0.3123844731977819,0.2184388050112432,0.09394566818653871,0.011090573012939002,0.22531320269836172,-0.21422262968542272
3-2,0.32854864433811803,0.2989835938794675,0.029565050458650544,0.23285486443381181,0.23128763188421808,0.0015672325495937334,0.671451355661882,0.7010164061205325,-0.029565050458650544,0.09569377990430622,0.06468541125780257,0.03100836864650365,0.2838915470494418,0.27906976744186046,0.004821779607581345,0.0,0.2960835220681655,-0.2960835220681655
