PARKID,NAME,CITY,STATE,STARTDATE,ENDDATE,LEAGUE,NOTES,AKA,FirstGame,Score(Winner),FirstAttendance,FirstStartingPitchers,FirstBatter,Result,FirstHit,Result(Inning),FirstRun ,FirstRBI,FirstHR,Date(Game#),FirstK/Batter,FirstWin,FirstLoss,FirstGrandSlam,FirstInside-the-ParkHR,FirstNo-Hitter,LastGame,Score(Winner),LastAttendance,LastStartingPitchers,LastBatter,Result,LastHit,Result(Inning),LastRun,LastRBI,LastHR,LastK/Batter,LastWin,LastLoss,LastGrandSlam,LastInside-the-Park HR,Last/MostRecentNo-Hitter,Trivia
PHI13,Citizens Bank Park,Philadelphia,PA,4/12/2004,,NL,,,Phillies vs. Reds: 4/12/2004,4-1 (CIN),"41,626",Randy Wolf (PHI); Paul Wilson (CIN),D'Angelo Jimenez (CIN),Doubled to RF,D'Angelo Jimenez (CIN),Doubled to RF (1st),D'Angelo Jimenez (CIN),Bobby Abreu (PHI),Bobby Abreu (PHI) vs. Paul Wilson (CIN) on 4/12/2004 (1st inning),4/12/2004 (1),Randy Wolf (PHI)/Ken Griffey Jr. (CIN),Paul Wilson (CIN),Randy Wolf (PHI),Andruw Jones (ATL) vs. Kevin Millwood (PHI) on 5/27/2004 (4th inning),Jimmy Rollins (PHI) vs. Dennys Reyes (KCA) on 6/20/2004 (2nd inning) ,Roy Halladay (PHI) vs. Reds on 10/6/2010,,,,,,,,,,,,,,,,,Josh Beckett (LAN) vs. Phillies on 5/25/2014,"When Randy Wolf started the first game at Citizens Bank Park on 4/12/2004 he became the first pitcher to start the first game at two active parks (Minute Maid Park: 4/7/2000 ); When Ken Griffey Jr. struck out in the first innng at Citizens Bank Park's first game he became the first strikeout victim in the first game at two different parks; The first no-hitter thrown at Citizens Bank Park, by Roy Halladay in Game One of the NLDS , was only the second no-hitter thrown in the postseason (Don Larsen: Perfect game in Game Five of the 1956 World Series). "
PHO01,Chase Field,Phoenix,AZ,3/31/1998,,NL,,Bank One Ballpark,Diamondbacks vs. Rockies: 3/31/1998,9-2 (COL),"47,484",Andy Benes (ARI); Darryl Kile (COL),Mike Lansing (COL),Singled to CF,Mike Lansing (COL),Singled to CF (1st),Vinny Castilla (COL),Todd Helton (COL),Vinny Castilla (COL) vs. Andy Benes (ARI) on 3/31/1998 (6th inning),3/31/1998 (1),Darryl Kile (COL)/Devon White (ARI),Darryl Kile (COL),Andy Benes (ARI),Cecil Fielder (ANA) vs. Willie Blair (ARI) on 6/9/1998 (3rd inning),Wendell McGee (DET) vs. Curth Schilling (ARI) on 6/14/2002 (3rd inning),Jose Jimenez (SLN) vs. Diamondbacks on 6/25/1999,,,,,,,,,,,,,,,,,Jose Jimenez (SLN) vs. Diamondbacks on 6/25/1999,"When Chase Field opened on March 31, 1998 it became the second park to open in March (Tropicana Field opened a few hours earlier on 3/31/1998).  Great American Ballpark in Cincinnati opened on 3/31/2003, making it the third park to open in March, then Nationals Park topped all three when it opened on March 30, 2008."
PIT08,PNC Park,Pittsburgh,PA,4/9/2001,,NL,,,Pirates vs. Reds: 4/9/2001,8-2 (CIN),"36,954",Todd Ritchie (PIT); Chris Reitsma (CIN),Barry Larkin (CIN),Struck Out,Sean Casey (CIN),Homered to RCF (1st),Dmitri Young (CIN),Sean Casey (CIN),Sean Casey (CIN) vs. Todd Ritchie (PIT) on 4/9/2001 (1st inning),4/9/2001 (1),Todd Ritchie (PIT)/Barry Larkin (CIN),Chris Reitsma (CIN),Todd Ritchie (PIT),Sammy Sosa (CHN) vs. Jose Silva (PIT) on 4/20/2001 (9th inning),Jack Wilson (PIT) vs. Brooks Kieschnick (MIL) on 7/2/2004 (6th inning),Homer Bailey (CIN) vs. Pirates on 9/28/2012,,,,,,,,,,,,,,,,,Homer Bailey (CIN) vs. Pirates on 9/28/2012,"When Barry Larkin led off in the first game at PNC Park he became the first player to lead off in the first game at two different active parks, having also led off in the first game at Milwaukee's Miller Park three days before; Barry Larkin was also the first batter to open an active park with a strikeout; When Sean Casey recorded the first hit at PNC Park he became the only player to earn the first hit at two active parks."
SAN02,Petco Park,San Diego,CA,4/8/2004,,NL,,,Padres vs. Giants: 4/8/2004,4-3 (SDN),"41,400",David Wells (SDN); Dustin Hermanson (SFN),Ray Durham (SFN),Flied to CF,Brian Giles (SDN),Singled to RF (1st),Khalil Greene (SDN),Sean Burroughs (SDN),Marquis Grissom (SFN) vs. Pablo Osuna (SDN) on 4/8/2004 (10th inning),4/8/2004 (1),Dustin Hermanson (SFN)/Jay Payton (SDN),Eddie Oropesa (SDN),Matt Herges (SFN),Adam Dunn (CIN) vs. Woody Williams (SDN) on 7/31/2005 (5th inning),Jimmy Rollins (PHI) vs. Adam Eaton (SDN) on 8/4/2004 (4th inning),Tim Lincecum (SFN) vs. Padres on 7/13/2013,,,,,,,,,,,,,,,,,Tim Lincecum (SFN) vs. Padres on 7/13/2013,"Marquis Grissom is the only player to hit the first homer at an active park in extra innings and is only the second one to do it (Bill Bruton: 4/14/1953) in parks that hosted at least 300 games.; Jimmy Rollins is the second player  to hit the first inside-the-park home run in two active parks (Fernando Vina); Tim Lincecum was part of two no-hitters in 11 days, including the first one thrown at Great American Ballpark in Cincinnati."
SEA03,Safeco Field,Seattle,WA,7/15/1999,,AL,,,Mariners vs. Padres: 7/15/1999,3-2 (SDN),"44,607",Jamie Moyer (SEA); Andy Ashby (SDN),Quilvio Veras (SDN),Grounded to P,Eric Owens (SDN),Singled to RF (1st),Quilvio Veras (SDN),Phil Nevin (SDN),Russ Davis (SEA) vs. Woody Williams (SDN) on 7/17/1999 (5th inning),7/17/1999 (3),Jamie Moyer (SEA)/Reggie Sanders (SDN),Will Cunnane (SDN),Jose Mesa (SEA),Raul Ibanez (SEA) vs. Carlos Reyes (SDN) on 7/17/1999 (7th inning),Adrian Beltre (SEA) vs. Mike Timlin (BOS) on 7/23/2006 (8th inning),Philip Humber (CHA) vs. Mariners on 4/21/2012,,,,,,,,,,,,,,,,,Hisashi Iwakuma (SEA) vs. Orioles on 8/12/2015,"When Safeco Field hosted its first game on 7/15/1999 it was the latest an active park had ever opened, and fourth latest (Braves Field: 8/18/1915, Cleveland Stadium: 7/31/1932, Three Rivers Stadium: 7/16/1970) among all parks that hosted at least 300 games."
SFO03,AT&T Park,San Francisco,CA,4/11/2000,,NL,,Pac Bell Park; SBC Park,Giants vs. Dodgers: 4/11/2000,6-5 (LAN),"40,930",Kirk Rueter (SFN); Chan Ho Park (LAN),Devon White (LAN),Singled to RF,Devon White (LAN),Singled to RF (1st),Bill Mueller (SFN),Barry Bonds (SFN),Kevin Elster (LAN) vs. Kirk Rueter (SFN) on 4/11/2000 (3rd inning),4/11/2000 (1),Kirk Rueter (SFN)/Mark Grudzielanek (LAN),Chan Ho Park (LAN),Kirk Rueter (SFN),Bobby Estalella (SFN) vs.  Glendon Rusch (NYN) on 5/2/2000 (4th inning),Fernando Vina (SLN) vs. Russ Ortiz (SFN) on 5/9/2000 (2nd inning),Jonathan Sanchez (SFN) vs. Padres on 7/10/2009,,,,,,,,,,,,,,,,,Tim Lincecum (SFN) vs. Padres on 6/25/2014,Kevin Elster is the only player to hit the first home run in a park in a game in which he hit three (minimum 300 games).  It was the only three-homer game of his career.; Fernando Vina is the first player to hit the first inside-the-park home runs in two active parks.
STL10,Busch Stadium III,St. Louis,MO,4/10/2006,,NL,,,Cardinals vs. Brewers: 4/10/2006,6-4 (SLN),"41,936",Mark Mulder (SLN); Tomo Ohka (MIL),Brady Clark (MIL),Lined to 2B,Carlos Lee (MIL),Singled to CF (2nd),Carlos Lee (MIL),Bill Hall (MIL),Bill Hall (MIL) vs. Mark Mulder (SLN) on 4/10/2006 (2nd inning),4/10/2006 (1),Mark Mulder (SLN)/Rickie Weeks (MIL),Mark Mulder (SLN),Tomo Ohka (MIL),Aramis Ramirez (CHN) vs. Mark Mulder (SLN) on 6/3/2006 (4th inning),Edwin Encarnacion (CIN) vs. Anthony Reyes (SLN) on 8/31/2007 (2nd inning),NONE,,,,,,,,,,,,,,,,,NONE,When Mark Mulder homered in the 7th inning in the first game at Busch Stadium III he became the only pitcher to homer in an active park's first game.
STP01,Tropicana Field,St. Petersburg,FL,3/31/1998,,AL,,,Devil Rays vs. Tigers: 3/31/1998,11-6 (DET),"45,369",Wilson Alvarez (TBA); Justin Thompson (DET),Brian Hunter (DET),Grounded to 1B,Tony Clark (DET),Singled to 2B (2nd),Tony Clark (DET),Joe Randa (DET),Luis Gonzalez (DET) vs. Dan Carlson (TBA) on 3/31/1998 (5th inning),3/31/1998 (1),Wilson Alvarez (TBA)/Bip Roberts (DET),Justin Thompson (DET),Wilson Alvarez (TBA),Johnny Damon (KCA) vs. Dennis Springer (TBA) on 5/14/1998 (2nd inning),Dave Martinez (TBA) vs. Hideki Irabu (NYA) on 7/10/1998 (4th inning),Edwin Jackson (ARI) vs. Devil Rays on 6/25/2010,,,,,,,,,,,,,,,,,Matt Garza (TBA) vs. Tigers on 7/26/2010,"Tropicana Field was the first park to open in March, beating Arizona's Chase Field by a few hours.  At the time it was the earliest a new park had opened, but was eclipsed by Washington's Nationals Park when it hosted its first game on 3/30/2008.; Only nine games separated the first no-hitter thrown at Tropicana Field from the most recent, the smallest gap between no-hitters among active parks."
TOR02,Rogers Centre,Toronto,ONT,6/5/1989,,AL,,Skydome,Blue Jays vs. Brewers: 6/5/1989,5-3 (MIL),"48,378",Jimmy Key (TOR); Don August (MIL),Paul Molitor (MIL),Doubled to CF,Paul Molitor (MIL),Doubled to CF (1st),Paul Molitor (MIL),Gary Sheffield (MIL),Fred McGriff (TOR) vs. Don August (MIL) on 6/5/1989 (2nd inning),6/5/1989 (1),Jimmy Key (TOR)/Greg Brock (MIL),Don August (MIL),Jimmy Key (TOR),Terry Steinbach (OAK) vs. Duane Ward (TOR) on 7/16/1989 (7th inning),Rance Mulliniks (TOR) vs. Kevin Brown (TEX) on 7/11/1991 (8th inning),Dave Stewart (OAK) vs. Blue Jays on 6/29/1990,,,,,,,,,,,,,,,,,Justin Verlander (DET) vs. Blue Jays on 5/7/2011,
WAS11,Nationals Park,Washington,DC,3/30/2008,,NL,,,Nationals vs. Braves: 3/30/2008,3-2 (WAS),"39,389",Odalis Perez (WAS); Tim Hudson (ATL),Kelly Johnson (ATL),Struck Out,Cristian Guzman (WAS),Singled to RF (1st),Cristian Guzman (WAS),Nick Johnson (WAS),Chipper Jones (ATL) vs. Odalis Perez (WAS) on 3/30/2008 (4th inning),3/30/2008 (1),Odalis Perez (WAS)/Kelly Johnson (ATL),Jon Rauch (WAS),Peter Moylan (ATL),Felipe Lopez (WAS) vs. Aaron Heilman (NYN) on 4/24/2008 (6th inning),Angel Pagan (NYN) vs. Livan Hernandez (WAS) on 5/19/2010 (4th innng),Jordan Zimmermann (WAS) vs. Marlins on 9/28/2014,,,,,,,,,,,,,,,,,Max Scherzer (WAS) vs. Pirates on 6/20/2015,"When Nationals Park opened on 3/30/2008 it was the earliest date for a park's first game; Kelly Johnson was only the second player to open an active park with a strikeout (Barry Larkin); Angel Pagan is the third player to hit the first inside-the-park home run in two active parks (Fernando Vina, Jimmy Rollins); Jordan Zimmerman's no-hitter came on the last day of the regular season."
