PARKID,NAME,CITY,STATE,STARTDATE,ENDDATE,LEAGUE,NOTES,AKA,FirstGame,Score(Winner),FirstAttendance,FirstStartingPitchers,FirstBatter,Result,FirstHit,Result(Inning),FirstRun ,FirstRBI,FirstHR,Date(Game#),FirstK/Batter,FirstWin,FirstLoss,FirstGrandSlam,FirstInside-the-ParkHR,FirstNo-Hitter,LastGame,Score(Winner),LastAttendance,LastStartingPitchers,LastBatter,Result,LastHit,Result(Inning),LastRun,LastRBI,LastHR,LastK/Batter,LastWin,LastLoss,LastGrandSlam,LastInside-the-Park HR,Last/MostRecentNo-Hitter,Trivia
DET05,Comerica Park,Detroit,MI,4/11/2000,,AL,,,Tigers vs. Mariners: 4/11/2000,5-2 (DET),"39,168",Brian Moehler (DET); Freddy Garcia (SEA),Mark McLemore (SEA),Flied to CF,John Olerud (SEA),Doubled to RF (1st),Luis Polonia (DET),Greg Jeffries (DET),Juan Gonzalez (DET) vs. Ryan Rupe (TBA) on 4/14/2000 (3rd inning),4/14/2000 (4),Freddy Garcia (SEA)/Tony Clark (DET),Brian Moehler (DET),Freddy Garcia (SEA),Trot Nixon (BOS) vs. Jim Poole (DET) on 4/19/2000 (6th inning),Juan Gonzalez (DET) vs. Kenny Rogers (TEX) on 9/2/2000 (1st inning),Justin Verlander (DET) vs. Brewers on 6/12/2007,,,,,,,,,,,,,,,,,Justin Verlander (DET) vs. Brewers on 6/12/2007,Juan Gonzalez is the only player to hit the first homer and first inside-the-park homer in an active park.
HOU03,Minute Maid Park,Houston,TX,4/7/2000,,NL,,Enron Field; Astros Field,Astros vs. Phillies: 4/7/2000,4-1 (PHI),"41,583",Octavio Dotel (HOU); Randy Wolf (PHI),Doug Glanville (PHI),Singled to RF,Doug Glanville (PHI),Singled to RF (1st),Scott Rolen (PHI),Scott Rolen (PHI),Scott Rolen (PHI) vs. Octavio Dotel (HOU) on 4/7/2000 (7th inning),4/7/2000 (1),Octavio Dotel (HOU)/Ron Gant (PHI),Randy Wolf (PHI),Octavio Dotel (HOU),Thomas Howard (SLN) vs. Chris Holt (HOU) on 4/11/2000 (7th inning),Adam Everett (HOU) vs. Pedro Feliciano (NYN) on 8/6/2003 (5th inning),Mike Fiers (HOU) vs. Dodgers on 8/21/2015,,,,,,,,,,,,,,,,,Mike Fiers (HOU) vs. Dodgers on 8/21/2015,"Thomas Howard's grand slam came as a pinch-hitter, making him the first pinch-hitter to hit the first grand slam in an active park's first game."
KAN06,Kauffman Stadium,Kansas City,MO,4/10/1973,,AL,,Royals Stadium,Royals vs. Rangers: 4/10/1973,12-1 (KCA),"39,464",Paul Splittorff (KCA); Pete Broberg (TEX),Dave Nelson (TEX),Grounded to P,Amos Otis (KCA),Bunt Single to 3B (1st),Freddie Patek (KCA),John Mayberry (KCA),John Mayberry (KCA) vs. Bill Gogolewski (TEX) on 4/10/1973 (5th inning),4/10/1973 (1),Pete Broberg (TEX)/Hal McRae (KCA),Paul Splittorff (KCA),Pete Broberg (TEX),Dave May (ML4) vs. Bruce Dal Canton (KCA) on 4/26/1973 (9th inning),Vic Harris (TEX) vs. Bruce Dal Canton (KCA) on 6/24/1973 (9th inning),Nolan Ryan (CAL) vs. Royals on 5/15/1973,,,,,,,,,,,,,,,,,Bret Saberhagen (KCA) vs. White Sox on 8/26/1991,Bruce Dal Canton is the only pitcher to allow the first grand slam and inside-the-park homer in a park.
LOS03,Dodger Stadium,Los Angeles,CA,4/10/1962,,NL,LAN:1962-prsnt; LAA:1962-9/2/65; CAL:9/2to9/22/65,Chavez Ravine,Dodgers vs. Reds: 4/10/1962,6-3 (CIN),"52,564",Johnny Podres (LAN); Bob Purkey (CIN),Eddie Kasko (CIN),Doubled to LF,Eddie Kasko (CIN),Doubled to LF (1st),Eddie Kasko (CIN),Vada Pinson (CIN),Wally Post (CIN) vs. Johnny Podres (LAN) on 4/10/1962 (7th inning),4/10/1962 (1),Johnny Podres (LAN)/Gordy Coleman (CIN),Bob Purkey (CIN),Johnny Podres (LAN),Brooks Robinson (BAL) vs. Ken McBride (LAA) on 5/6/1962 (3rd inning),Larry Burright (LAN) vs. Dave Hillman (NYN) on 5/25/1962 (6th inning),Bo Belinksi (LAA) vs. Orioles on 5/5/1962,,,,,,,,,,,,,,,,,Jake Arrieta (CHN) vs. Dodgers on 8/30/2015,"Hall of Fame umpire Doug Harvey and five-time All-Star Cookie Rojas both made their MLB debuts in Dodger Stadium's first game; Los Angeles Angels pitcher Bo Belinski threw the first no-hitter at Dodger Stadium on May 5, 1962 against the Baltimore Orioles.  The next day Orioles third baseman Brooks Robinson hit the first grand slam at Dodger Stadium in a game against the Angels, who called Dodger Stadium home from 1962-1965. "
MIA02,Marlins Park,Miami,FL,4/4/2012,,NL,,,Marlins vs. Cardinals: 4/4/2012,4-1 (SLN),"36,601",Josh Johnson (MIA); Kyle Lohse (SLN),Rafael Furcal (SLN),Grounded to SS,Carlos Beltran (SLN),Singled to RF (1st),Carlos Beltran (SLN),David Freese (SLN),J.D. Martinez (HOU) vs. Edward Mujica (MIA) on 4/13/2012 (8th inning),4/13/2012 (2),Kyle Lohse (SLN)/ Josh Johnson (MIA),Kyle Lohse (SLN),Josh Johnson (MIA),Giancarlo Stanton (MIA) vs. Manny Acosta (NYN) on 5/13/2012 (9th inning),Dee Gordon (MIA) vs. Ryan Vogelsong (SFN) on 6/30/2015 (2nd inning),Henderson Alvarez (MIA) vs. Tigers on 9/29/2013,,,,,,,,,,,,,,,,,Henderson Alvarez (MIA) vs. Tigers on 9/29/2013,"Marlins Park is the only active park where a pitcher was the first strikeout victim; The first grand slam at Marlins Park, hit by Giancarlo Stanton, was a walk-off hit that gave the Marlins an 8-4 win over the New York Mets; Henderson Alvarez's no-hitter came in the final game of the regular season and is the only one ever to end on a wild pitch. It's also one of four parks where the first no-hitter came in an interleague game."
MIL06,Miller Park,Milwaukee,WI,4/6/2001,,NL,,,Brewers vs. Reds: 4/6/2001,5-4 (MIL),"42,024",Jeff D'Amico (MIL); Rob Bell (CIN),Barry Larkin (CIN),Grounded to P,Sean Casey (CIN),Singled to CF (2nd),Barry Larkin (CIN),Michael Tucker (CIN),Michael Tucker (CIN) vs. Jeff D'Amico (MIL) on 4/6/2001 (4th inning),4/6/2001 (1),Rob Bell (CIN)/Richie Sexson (MIL),David Weathers (MIL),Dennys Reyes (CIN),Jose Hernandez (MIL) vs. Nelson Cruz (HOU) on 4/12/2001 (5th inning),Fernando Vina (SLN) vs. Ben Sheets (MIL) on 10/2/2001 (5th inning),Carlos Zambrano (CHN) vs. Astros on 9/14/2008,,,,,,,,,,,,,,,,,Carlos Zambrano (CHN) vs. Astros on 9/14/2008,"Michael Tucker is the only player to drive in the first run in the first game at two parks (minimum 300 games); Michael Tucker is the only player to hit the first home run in the first game in two active parks, and is the second player (Buck Freeman: 1901, 1903) to hit the first homers in the first game in two parks (minimum 300 games); Miller Park is the only ballpark that hosted a no-hitter as a neutral site when the Houston Astros were displaced from Houston due to Hurricane Ike; Fernando Vina became the first player to hit the first inside-the-park home runs in two parks (minimum 300 games)."
MIN04,Target Field,Minneapolis,MN,4/12/2012,,AL,,,Twins vs. Red Sox: 4/12/2012,5-2 (MIN),"38,145",Carl Pavano (MIN); Jon Lester (BOS),Marco Scutaro (BOS),Singled to CF,Marco Scutaro (BOS),Singled to CF (1st),Denard Span (MIN),Michael Cuddyer (MIN),Jason Kubel (MIN) vs. Scott Atchison (BOS) on 4/12/2012 (7th inning),4/12/2010 (1),Carl Pavano (MIN)/David Ortiz (BOS),Carl Pavano (MIN),Jon Lester (BOS),Matt Joyce (TBA) vs. Matt Guerrier (MIN) on 7/3/2010 (8th innng),Curtis Granderson (NYA) vs. Jose Mijares (MIN) on 8/21/2011 (7th inning),NONE,,,,,,,,,,,,,,,,,NONE,"Matt Joyce's grand slam came as a pinch-hitter, making him the second pinch-hitter to hit the first grand slam in an active park's first game (Thomas Howard at Minute Maid Park: 4/11/2000)."
NYC20,Citi Field,New York,NY,4/13/2009,,NL,,,Mets vs. Padres: 4/13/2009,6-5 (SDN),"41,007",Mike Pelfrey (NYN); Walter Silva (SDN),Jody Gerut (SDN),Homered to RF,Jody Gerut (SDN),Homered to RF (1st),Jody Gerut (SDN),Jody Gerut (SDN),Jody Gerut (SDN) vs. Mike Pelfrey (NYN) on 4/13/2009 (1st inning),4/13/2009 (1),Mike Pelfrey (NYN)/Todd Hundley (SDN),Edward Mujica (SDN),Brian Stokes (NYN),Omir Santos (NYN) vs. Anibal Sanchez (FLA) on 4/27/2009 (1st inning),Angel Pagan (NYN) vs. Pedro Martinez (PHI) on 8/23/2009 (1st inning),Johan Santana (NYN) vs. Cardinals on 6/1/2012,,,,,,,,,,,,,,,,,Max Scherzer (WAS) vs. Mets on 10/3/2015,"San Diego Padres center fielder Jody Gerut led off the first game at Citi Field with a home run, making it the only park to open with a homer (minimum 300 games); Johan Santana's no-hitter was the first ever thrown by a Mets pitcher and occurred in the team's 51st season and 8,020th game, which was the longest drought any franchise had endured before recording its first no-hitter.  It took only three more years before the second no-hitter was thrown and the third was thrown less than four months later."
NYC21,Yankee Stadium II,New York,NY,4/16/2009,,AL,,,Yankees vs. Indians: 4/16/2009,10-2 (CLE),"48,271",CC Sabathia (NYA); Cliff Lee (CLE),Grady Sizemore (CLE),Grounded to 1B,Johnny Damon (NYA),Singled to CF (1st),Ben Francisco (CLE),Kelly Shoppach (CLE),Jorge Posada (NYA) vs. Cliff Lee (CLE) on 4/16/2009 (5th inning),4/16/2009 (1),CC Sabathia (NYA)/Victor Martinez (CLE),Cliff Lee (CLE),Jose Veras (NYA),Grady Sizemore (CLE) vs. Damaso Marte (NYA) on 4/16/2009 (7th inning),Brett Gardner (NYA) vs. Jesse Crain (MIN) on 5/15/2009 (7th inning),NONE,,,,,,,,,,,,,,,,,NONE,"Yankee Stadium II is the second active park to feature a grand slam in its first game (Coors Field: 4/26/1995), and the third (Jarry Park: 4/14/1969) among all parks (minimum 300 games)."
OAK01,Oakland-Alameda County Coliseum,Oakland,CA,4/17/1968,,AL,,Network Associates Coliseum; McAfee Coliseum; UMAX Coliseum; Overstock.com Coliseum,A's vs. Orioles: 4/17/1968,4-1 (BAL),"50,164",Lew Krausse (OAK); Dave McNally (BAL),Curt Blefary (BAL),Walked,Boog Powell (BAL),Homered (2nd),Boog Powell (BAL),Boog Powell (BAL),Boog Powell (BAL) vs. Lew Krausse (OAK) on 4/17/1968 (2nd inning),4/17/1968 (1),Dave McNally (BAL)/Reggie Jackson (OAK),Dave McNally (BAL),Lew Krausse (OAK),Sal Bando (OAK) vs. George Brunet (CAL) on 4/16/1969 (5th inning),Reggie Jackson (OAK) vs. Jim McGlothlin (CAL) on 6/2/1968 (4th inning),Catfish Hunter (OAK) vs. Twins on 5/8/1968,,,,,,,,,,,,,,,,,Dallas Braden (OAK) vs. Rays on 5/9/2010,"Catfish Hunter threw the first no-hitter at Oakland-Alameda County Coliseum in the 11th game ever played there, marking the shortest amount of time between a park's first game and its first no-hitter; Oakland-Alameda County Coliseum has hosted three no-hitters in which more than one pitcher contributed, including two in which four pitchers contributed.  Turner Field in Atlanta is the only other active park that has hosted a no-hitter in which four pitchers contributed, and only Turner Field, Fenway Park, and Angel Stadium of Anaheim have hosted other no-hitters in which multiple pitchers contributed."
