balls,strikes,bucket,count,pct_total,pct_for_count
0,0,waste,3612,0.06955115244642135,0.20123683770683604
0,0,zone,14337,0.2760672404829299,0.798763162293164
0,1,waste,3301,0.06356266728284521,0.5107535200371345
0,1,zone,3162,0.06088614175957484,0.4892464799628655
0,2,waste,914,0.017599599483950474,0.6264564770390678
0,2,zone,545,0.010494290720736333,0.37354352296093213
1,0,waste,1140,0.021951360406677833,0.1824
1,0,zone,5110,0.09839601024396818,0.8176
1,1,waste,1507,0.029018158011283768,0.251502002670227
1,1,zone,4485,0.08636127317890359,0.7484979973297731
1,2,waste,1355,0.02609130995706006,0.4746059544658494
1,2,zone,1500,0.028883368956155047,0.5253940455341506
2,0,waste,383,0.007374886873471588,0.17747914735866543
2,0,zone,1775,0.03417865326478347,0.8225208526413346
2,1,waste,572,0.011014191361947125,0.18410041841004185
2,1,zone,2535,0.04881289353590203,0.8158995815899581
2,2,waste,466,0.008973099955712167,0.18881685575364668
2,2,zone,2002,0.03854966976681493,0.8111831442463533
3,0,waste,174,0.0033504707989139852,0.23835616438356164
3,0,zone,556,0.01070610209308147,0.7616438356164383
3,1,waste,275,0.005295284308628425,0.2088078967350038
3,1,zone,1042,0.020064313634875704,0.7911921032649962
3,2,waste,222,0.004274738605510947,0.18734177215189873
3,2,zone,963,0.01854312286985154,0.8126582278481013
