year,avg,babip,bb_pct,bip_double_play_pct,bip_fb_pct,bip_gb_pct,bip_ld_pct,called_third_strike_share_of_so,contact_pct,first_pitch_strike_pct,hr_per_fb_pct,iso,k_minus_bb_pct,k_pct,o_contact_pct,o_swing_pct,obp,ops,pitches_per_pa,pitches_put_in_play_pct,sb_pct,sba_per_pa,slg,swing_pct,z_contact_pct,z_swing_pct,zone_pct
2025,0.24819596927993404,0.29997374179431074,0.08816375704673576,0.024282523351834305,0.3946290781101936,0.39254771896575064,0.21282320292405577,0.2786945553920538,0.8297676079388223,0.6261820330969267,0.08351017841704,0.13997989794340499,0.12810283687943264,0.2162665939261684,0.6849130963840104,0.325554307337551,0.3230830991569651,0.7112589663803042,3.906153391525732,0.17195115209250492,0.6887524823975447,0.06295462811420258,0.388175867223339,0.4889300771941259,0.9003664559987253,0.6472337280648987,0.5078838101833397
2026,0.24840483477719563,0.29871982250083645,0.08755607433855168,0.024085122295310454,0.3931806979076369,0.3929427362194687,0.21387656587289447,0.2796200986894466,0.8322489290387338,0.6258353932069944,0.0864860595529579,0.14626238522591686,0.1281241417193079,0.21568021605785956,0.692446108546294,0.32600940970123604,0.32277575141973314,0.7174429714228456,3.9246086240043945,0.17155078904090415,0.7160342717258262,0.06544676370960359,0.3946672200031125,0.48804191889149373,0.9007075786569356,0.6450288771772703,0.5079079044053326
2027,0.24496009535655058,0.29502386299831557,0.08794944881348947,0.02391702878870179,0.3918217001629549,0.3955900325909832,0.21258826724606192,0.2861863142187167,0.8337975412985017,0.6266355300662797,0.08313473149030823,0.14286639718076286,0.12684730473802902,0.21479675355151848,0.6963611711678699,0.3248516448523591,0.32020068046825445,0.7080271730055678,3.9104250374898406,0.17245750183692765,0.7343606677673822,0.062399120848930255,0.38782649253731344,0.48767721594950864,0.9007624046994126,0.6452642372432227,0.5081746940161532
2028,0.24603686873902716,0.2956319344790172,0.0893767640899572,0.02369996955036032,0.39149778394289003,0.3941029197821159,0.21439929627499407,0.28202408104810905,0.8336167039522744,0.6275493945188018,0.08558220395906595,0.14620985231849634,0.1251934808340162,0.21457024492397342,0.6942939460380162,0.32630894308943087,0.32192150158901345,0.7141682226465369,3.907800691978512,0.17216583419492945,0.7146984470928133,0.06302922698716197,0.3922467210575235,0.48819734676937865,0.901999324071933,0.6453423635424439,0.5074339968836918
2029,0.24462240190742757,0.2934524542304919,0.08895751129410419,0.024453199293574243,0.39549653579676675,0.3940191550061133,0.21048430919711997,0.28172846092291276,0.8322181050712907,0.6267398638988964,0.08602150537634409,0.14663349401337272,0.12543031966603763,0.21438783096014183,0.6926102786468339,0.3242545769509142,0.32031331110777855,0.7115692070285788,3.9134442728884316,0.1721005809943537,0.7170228445099485,0.06208040258477726,0.3912558959208003,0.48742153069216654,0.9002720178372352,0.6458441334024537,0.5073764071870287
2030,0.2490348736620573,0.29934308487343436,0.08738683268340516,0.024692610820775618,0.39349197490148324,0.39328902193583304,0.21321900316268372,0.28564608529598984,0.832406638756338,0.6282638936398258,0.08638969606534203,0.14598907696479063,0.12756835647989784,0.214955189163303,0.6894650356034325,0.32441493363028423,0.32361358542612495,0.7186375360529729,3.9174363184419967,0.17209743659897486,0.7114106019766397,0.06345351303277007,0.3950239506268479,0.4873605439404832,0.9018913473742134,0.6447922627904314,0.5086053084260129
2031,0.24461989213856047,0.29641676536618994,0.08826190012710264,0.024218082379080498,0.39039480430695606,0.39521449324901725,0.21439070244402667,0.2821774404606124,0.8293990452288396,0.6262610069734688,0.08423204907188389,0.14115328769964738,0.1305034867343784,0.21876538686148103,0.6856813440210827,0.3245275398814544,0.32011403377154,0.7058872136097478,3.921310874718027,0.17085606157943303,0.6966312376148441,0.063562766944155,0.38577317983820786,0.4875164986625863,0.899322405150077,0.645164811176599,0.5083281744594863
2032,0.24578406667958907,0.29678599057598987,0.08838953872813918,0.02344944774851317,0.39524214103653355,0.3942565845369584,0.21050127442650807,0.2769667051780275,0.8288506655175716,0.6249059443190369,0.08425196850393701,0.14430445176713835,0.12870237362336684,0.21709191235150604,0.6857251728330097,0.32582296741238237,0.3213866985447941,0.7114752169915215,3.9074834119980846,0.17170399806267705,0.7049963262307127,0.06206534874706432,0.39008851844672743,0.48750514236697684,0.8992918188556579,0.6450399488470423,0.5064961589071632
2033,0.24593461860854987,0.29783390335876525,0.08869444507657648,0.02282833768967039,0.39442954614888487,0.3895244237754167,0.21604603007569842,0.2863862032923961,0.829951397688267,0.6261293038709237,0.08251411425638597,0.13865497453091752,0.12903078988689895,0.2177252349634754,0.6850339269796802,0.3232675479864509,0.3210982857929642,0.7056878789324316,3.924868579751041,0.17080602189939728,0.6918869644484958,0.06241039528480077,0.3845895931394674,0.4873268182094909,0.9003694929637225,0.6468412114835929,0.5070229401549831
2034,0.24785102132869385,0.29900663992011073,0.08963394550637728,0.023773265651438242,0.3964636209813875,0.3911336717428088,0.2124027072758037,0.2819663512092534,0.8301002867881508,0.630242938430611,0.08458352867635568,0.14145241317095175,0.12638704328370076,0.21602098879007803,0.686545256863278,0.3255540938346184,0.3238494490642109,0.7131528835638565,3.911706247799471,0.1715958120169331,0.6804986642920748,0.06377275773166605,0.3893034344996456,0.4889958015643963,0.9000635862653666,0.6473988439306358,0.5078277886497065
