balls,strikes,samples,avg_base_lookup,avg_base_raw,avg_scale,avg_count_adjust,avg_close_ball_bonus,avg_discipline_adjust,avg_discipline_bias,avg_discipline_logit_offset,avg_close_strike_mix,avg_penalty_source,avg_penalty_factor,avg_penalty_floor,avg_penalty_delta,avg_penalty_multiplier,avg_location_adjust,avg_take_bonus,avg_pre_two_strike,avg_two_strike_bonus,avg_final,avg_discipline,avg_discipline_raw,avg_discipline_raw_scaled,avg_discipline_norm,avg_discipline_clamped,avg_discipline_logit,avg_discipline_pct,avg_discipline_penalty,pitch_kind_sure_strike_pct,pitch_kind_close_strike_pct,pitch_kind_close_ball_pct,pitch_kind_sure_ball_pct
0,1,467,0.6790015246252675,0.38608137044968177,1.764236402569603,-0.11999999999999908,0.00042826552462526775,0.02465677708827522,0.28747694142715247,0.0,0.004111349036402572,0.7874769414271521,0.9482770654599117,0.0,-0.027664134553022544,0.9884368308351168,0.0,0.0,0.5564224326851446,0.0,0.5564224326851446,1.0,157.83511777301928,145.20830835117775,1.4520830835117775,1.0,0.7874769414271521,1.180000000000002,1.3500000000000119,0.8843683083511777,0.06852248394004283,0.042826552462526764,0.004282655246252677
0,2,333,0.6871120720720683,0.39495495495495736,1.740297897897905,0.0007999999999999982,0.00012012012012012012,0.01485343341204354,0.15276970724281164,0.0,0.0019819819819819826,0.6527697072428107,0.9921578896079213,0.0,-0.005344581838872173,0.9960960960960961,0.0,0.0,0.6975410437653639,0.05999999999999987,0.757541043765363,1.0,137.63063063063063,126.6201801801802,1.2662018018018024,1.0,0.6527697072428107,1.1800000000000057,1.3500000000000076,0.960960960960961,0.03303303303303303,0.006006006006006006,0.0
1,0,220,0.5367146909090904,0.2742727272727267,1.9697600000000053,-0.12000000000000019,0.0,-0.004229906879757663,0.2042580268767741,-0.08500000000000046,0.029727272727272668,0.7042580268767727,0.575373548972136,0.0,-0.1853964321025785,0.9104545454545487,0.0,0.0,0.22708835192675467,0.0,0.22708835192675467,1.0,198.4181818181818,154.76618181818174,1.547661818181819,1.0,0.7042580268767727,1.180000000000005,1.3499999999999996,0.10454545454545454,0.4954545454545455,0.2818181818181818,0.11818181818181818
1,1,83,0.5753756144578316,0.29759036144578327,1.9192385542168657,-0.07000000000000005,0.003012048192771085,0.0011499123394503312,0.2232284651468084,0.0,0.033253012048192795,0.7232284651468083,0.6587610599442097,0.0,-0.2112642560972924,0.9132530120481928,0.0,0.0,0.29827331889276015,0.0,0.29827331889276015,1.0,146.96385542168676,135.20674698795182,1.3520674698795174,1.0,0.7232284651468083,1.1800000000000022,1.349999999999998,0.13253012048192772,0.5542168674698795,0.30120481927710846,0.012048192771084338
1,2,28,0.6020039999999999,0.315,1.9032000000000004,0.0006,0.005714285714285714,0.0029498546421002727,0.14339542501399513,0.0,0.027857142857142865,0.6433954250139949,0.7175242942003621,0.0,-0.20767970942729433,0.9249999999999997,0.0,0.0,0.4035884309290917,0.06000000000000004,0.4635884309290918,1.0,136.41071428571428,125.49785714285717,1.2549785714285715,1.0,0.6433954250139949,1.18,1.3500000000000008,0.25,0.4642857142857143,0.2857142857142857,0.0
2,0,160,0.5694598000000004,0.2852499999999997,2.00616,-0.13000000000000006,0.0,-0.004850995904974896,0.13199430888040148,-0.08500000000000033,0.024375000000000018,0.6319943088804014,0.5585590244887662,0.0,-0.20930225392805207,0.9131250000000021,0.0,0.0,0.22530655016697296,0.0,0.22530655016697296,1.0,183.621875,146.8975000000001,1.468974999999996,1.0,0.6319943088804014,1.1800000000000044,1.3499999999999963,0.13125,0.40625,0.35625,0.10625
2,1,80,0.5757166999999999,0.2926249999999998,1.9624799999999987,-0.07000000000000003,0.003375000000000001,-0.004113369485922344,0.25816770682023915,0.0,0.02925000000000002,0.7581677068202395,0.5807328318790739,0.0,-0.23991045095450653,0.9124999999999999,0.0,0.0,0.2650678795595714,0.0,0.2650678795595714,1.0,152.50625,140.30575000000007,1.4030575000000005,1.0,0.7581677068202395,1.180000000000002,1.3499999999999983,0.125,0.4875,0.3375,0.05
2,2,31,0.5818800000000001,0.3029032258064515,1.9058838709677428,0.0003999999999999998,0.005806451612903225,0.0028665809153239647,0.21479150486457171,0.0,0.03290322580645163,0.7147915048645717,0.6806663981655158,0.0,-0.22970570084605305,0.916129032258064,0.0,0.0,0.3612473316821741,0.06000000000000004,0.42124733168217404,1.0,145.6451612903226,133.99354838709678,1.3399354838709678,1.0,0.7147915048645717,1.18,1.3500000000000008,0.16129032258064516,0.5483870967741935,0.2903225806451613,0.0
3,0,112,0.5273496428571427,0.26330357142857125,2.043599999999996,-0.0001999999999999998,0.0,0.006935353796086431,0.15251686826310423,0.0,0.019821428571428584,0.6525168682631052,0.8875653486574777,0.19999999999999957,-0.05917851903104327,0.9142857142857156,0.0,0.0,0.47490647762218635,0.0,0.47490647762218635,0.6499999999999998,173.51339285714286,159.6323214285714,1.5963232142857147,0.6499999999999998,0.6525168682631052,1.1800000000000033,1.3499999999999972,0.14285714285714285,0.33035714285714285,0.30357142857142855,0.22321428571428573
3,1,106,0.5511970566037737,0.28481132075471705,1.9400905660377323,0.029999999999999943,0.0027358490566037745,-0.006904647109121977,-0.11147654929190255,0.0,0.031132075471698138,0.3885234507080974,0.9995031959962445,0.17999999999999983,-0.0003305834252826122,0.20150943396226392,0.0,0.0,0.5766976751259731,0.0,0.5766976751259731,0.6070835849056605,93.14622641509433,85.69452830188673,0.856945283018868,0.6070835849056605,0.3885234507080974,1.1800000000000033,1.3499999999999972,0.1320754716981132,0.5188679245283019,0.27358490566037735,0.07547169811320754
3,2,45,0.553728355555556,0.29288888888888887,1.8921066666666673,0.08000000000000004,0.0044444444444444444,-0.009674545300585875,-0.13753915812813114,0.0,0.033333333333333354,0.3624608418718687,0.9997550563961417,0.1799999999999999,-0.0001814518576208858,0.2435555555555556,0.0,0.0,0.6283168028417935,0.060000000000000046,0.6883168028417931,0.58355,86.5,77.85,0.7785,0.58355,0.3624608418718687,1.18,1.350000000000001,0.17777777777777778,0.5555555555555556,0.2222222222222222,0.044444444444444446
