balls,strikes,samples,avg_base_lookup,avg_base_raw,avg_scale,avg_count_adjust,avg_close_ball_bonus,avg_discipline_adjust,avg_discipline_bias,avg_discipline_logit_offset,avg_close_strike_mix,avg_penalty_source,avg_penalty_factor,avg_penalty_floor,avg_penalty_delta,avg_penalty_multiplier,avg_location_adjust,avg_take_bonus,avg_pre_two_strike,avg_two_strike_bonus,avg_final,avg_discipline,avg_discipline_raw,avg_discipline_raw_scaled,avg_discipline_norm,avg_discipline_clamped,avg_discipline_logit,avg_discipline_pct,avg_discipline_penalty,pitch_kind_sure_strike_pct,pitch_kind_close_strike_pct,pitch_kind_close_ball_pct,pitch_kind_sure_ball_pct
0,0,16058,0.6159027729481749,0.3372892016440473,1.851880034873383,-0.19999999999995455,0.0,0.0004646593750613357,0.012452111720913718,-0.09500000000002252,0.015151326441649501,0.5124521117209134,0.8434952218620729,0.0,-0.06142488853223467,0.9549881678912809,0.0,0.0,0.35494896995099284,0.0,0.35494896995099284,1.0,182.9573732718894,135.38845622120053,1.3538845622119968,1.0,0.5124521117209134,1.1800000000002127,1.3499999999998387,0.549881678913937,0.25252210736081704,0.14123801220575413,0.05635820151949184
0,1,7592,0.5920254383561665,0.3316741306638904,1.7993205479453314,-0.12000000000000415,0.0007402528977871344,0.01828994530239376,0.2874153713696895,0.0,0.022634351949421098,0.7874153713696396,0.8671205449481967,0.0,-0.0549946393801445,0.951541095890352,0.0,0.0,0.4360609971762039,0.0,0.4360609971762039,1.0,157.80354320337196,145.17925974710224,1.451792597471019,1.0,0.7874153713696396,1.1800000000001252,1.3500000000001928,0.5154109589041096,0.3772391991570074,0.07402528977871443,0.0333245521601686
0,2,3460,0.6158396971097971,0.35278323699421815,1.749087630057728,0.0007999999999999496,0.00028901734104046255,0.013675482199677574,0.15404960504184065,0.0,0.018919075144508947,0.6540496050418428,0.9626633323206601,0.0,-0.019599418535859524,0.9663583815029096,0.0,0.0,0.6110047781146827,0.06000000000000183,0.6710047781146838,1.0,137.78858381502891,126.76549710982921,1.267654971098263,1.0,0.6540496050418428,1.1799999999999289,1.3499999999999885,0.6635838150289017,0.3153179190751445,0.014450867052023121,0.006647398843930636
1,0,5779,0.628185410624643,0.3496591105727805,1.8150042567918359,-0.12000000000000402,0.0,0.011829857532624041,0.20250147067204186,-0.08499999999999155,0.01393320643710011,0.7025014706720063,0.8539413209407599,0.0,-0.06601992729564206,0.9633500605640946,0.0,0.0,0.4539953408616591,0.0,0.4539953408616591,1.0,198.1070254369268,154.52347984080333,1.5452347984080803,1.0,0.7025014706720063,1.1800000000000732,1.350000000000139,0.6335006056411144,0.2322201072849974,0.0991521024398685,0.035127184634019724
1,1,5712,0.6237504691876445,0.34222864145659637,1.8521176470588243,-0.06999999999999432,0.0013585434173669256,0.009333518459211534,0.22919239237940742,0.0,0.012426470588235499,0.729192392379391,0.7914008777715055,0.0,-0.10029273739290022,0.9594887955181878,0.0,0.0,0.46414979367136433,0.0,0.46414979367136433,1.0,147.86449579831933,136.03533613445416,1.3603533613445125,1.0,0.729192392379391,1.1800000000000708,1.3500000000001364,0.5948879551820728,0.20710784313725492,0.13585434173669467,0.06214985994397759
1,2,3394,0.617453944608106,0.3402121390689429,1.8394149675897817,0.0005999999999999757,0.002480848556275754,0.007231629771733611,0.15376994688115636,0.0,0.014973482616381971,0.653769946881157,0.8227916059168578,0.0,-0.10222641508646901,0.9574248674131062,0.0,0.0,0.5255400078496654,0.06000000000000182,0.5855400078496663,1.0,137.7570713022982,126.73650559811696,1.2673650559811391,1.0,0.653769946881157,1.1799999999999307,1.3499999999999812,0.5742486741308191,0.24955804360636416,0.12404242781378903,0.05215085444902769
2,0,1644,0.6331588953771147,0.3534975669099672,1.7980866180048691,-0.12999999999999715,0.0,0.008535721994700787,0.1280520568687033,-0.08499999999999813,0.01602189781021887,0.6280520568686999,0.8912184759797583,0.0,-0.058914143720778946,0.9627737226277463,0.0,0.0,0.4527804736510548,0.0,0.4527804736510548,1.0,182.95255474452554,146.36204379561966,1.463620437956191,1.0,0.6280520568686999,1.1800000000000184,1.3499999999999586,0.6277372262773723,0.2670316301703163,0.09793187347931874,0.0072992700729927005
2,1,2677,0.639667753455334,0.3604109077325253,1.7794411654837377,-0.0699999999999956,0.0007060141949943973,0.019820771508950386,0.2611570780345393,0.0,0.014501307433694419,0.7611570780345456,0.9109515805876456,0.0,-0.053184610105855464,0.968509525588361,0.0,0.0,0.5370099290534485,0.0,0.5370099290534485,1.0,152.95199850579007,140.71583862532447,1.4071583862532464,1.0,0.7611570780345456,1.179999999999956,1.3499999999999395,0.6850952558834517,0.24168845722824056,0.07060141949943967,0.002614867388868136
2,2,2614,0.6418292364192549,0.36595638867634545,1.756183626625861,0.00039999999999998094,0.0006426931905126247,-0.021517425728342084,-0.24741034069328877,0.0,0.013473603672532449,0.2525896593067109,1.0,0.0,0.0,0.7009028309104732,0.0,0.0,0.6213545038814519,0.060000000000001684,0.6813545038814496,0.8367746748278533,113.07765876052028,83.67746748278553,0.8367746748278533,0.8367746748278533,0.2525896593067109,1.1799999999999589,1.3499999999999401,0.7421576128538638,0.22456006120887528,0.032134659525631215,0.0011476664116296864
3,0,482,0.5602602987551862,0.2861618257261423,1.9917510373444116,-0.00020000000000000147,0.0,0.00818892345186937,0.15131821100187223,0.0,0.020290456431535254,0.6513182110018716,0.9058634701808295,0.20000000000000173,-0.05368884787553246,0.9224066390041437,0.0,0.0,0.5145603743315245,0.0,0.5145603743315245,0.6499999999999991,172.72510373443984,158.9070954356846,1.5890709543568493,0.6499999999999991,0.6513182110018716,1.1800000000000002,1.350000000000012,0.22406639004149378,0.3381742738589212,0.2883817427385892,0.14937759336099585
