balls,strikes,bucket,count,pct_total,pct_for_count
0,0,waste,3069,0.07760582612653619,0.192861182680827
0,0,zone,12844,0.3247863247863248,0.807138817319173
0,1,waste,3485,0.08812522126131593,0.5147710487444609
0,1,zone,3285,0.08306781975421029,0.48522895125553916
0,2,waste,1815,0.04589591867698377,0.6125548430644617
0,2,zone,1148,0.029029484650786426,0.3874451569355383
1,0,waste,737,0.01863652455368432,0.1813930593157765
1,0,zone,3326,0.08410458706316694,0.8186069406842235
1,1,waste,855,0.02162039144287665,0.2569882777276826
1,1,zone,2472,0.06250948262782582,0.7430117222723174
1,2,waste,993,0.025109998482779547,0.4965
1,2,zone,1007,0.025464016588276944,0.5035
2,0,waste,191,0.004829818439285895,0.1741112123974476
2,0,zone,906,0.02291002882718859,0.8258887876025525
2,1,waste,245,0.00619531684620442,0.18875192604006163
2,1,zone,1053,0.026627218934911243,0.8112480739599384
2,2,waste,179,0.004526374348859556,0.1837782340862423
2,2,zone,795,0.020103170990744955,0.8162217659137577
3,0,waste,68,0.0017195165124159206,0.22442244224422442
3,0,zone,235,0.005942446770849138,0.7755775577557755
3,1,waste,87,0.0021999696555909574,0.19162995594713655
3,1,zone,367,0.009280331765538866,0.8083700440528634
3,2,waste,62,0.0015677944672027513,0.16145833333333334
3,2,zone,322,0.008142416426440095,0.8385416666666666
